jogador_id,nome,jogos,titularidades,minutos,gols,assistencias,finalizacoes,finalizacoes_gol,cartoes_amarelos,cartoes_vermelhos,faltas_cometidas,faltas_sofridas,defesas,gols_sofridos,posicao_oficial,participacoes_gols,partidas_90,gols_por_90,assistencias_por_90,participacoes_por_90,finalizacoes_por_90,finalizacoes_gol_por_90,percentual_titularidade,status_elenco
144324,Zakaria Labyad,11,2,227.28,1.0,2.0,5.0,1.0,1.0,0.0,6.0,3.0,0.0,3.0,Forward,3.0,2.525,0.396,0.792,1.188,1.98,0.396,0.182,Reserva
148189,André Carrillo,21,12,1060.36,0.0,1.0,8.0,0.0,4.0,0.0,29.0,8.0,0.0,13.0,Midfielder,1.0,11.782,0.0,0.085,0.085,0.679,0.0,0.571,Titular
159255,Memphis Depay,11,8,665.18,1.0,0.0,13.0,4.0,1.0,0.0,5.0,12.0,0.0,9.0,Forward,1.0,7.391,0.135,0.0,0.135,1.759,0.541,0.727,Titular
168981,Gustavo Henrique,22,22,1980.0,1.0,1.0,19.0,6.0,3.0,0.0,20.0,11.0,0.0,24.0,Defender,2.0,22.0,0.045,0.045,0.091,0.864,0.273,1.0,Titular
169136,Jesse Lingard,16,7,696.7,0.0,1.0,9.0,3.0,2.0,0.0,18.0,7.0,0.0,11.0,Midfielder,1.0,7.741,0.0,0.129,0.129,1.163,0.388,0.438,Reserva
171652,Vitinho,8,4,349.69,0.0,0.0,10.0,2.0,0.0,0.0,6.0,5.0,0.0,2.0,Forward,0.0,3.885,0.0,0.0,0.0,2.574,0.515,0.5,Titular
192226,Gabriel Paulista,20,20,1763.38,1.0,0.0,18.0,2.0,6.0,0.0,14.0,10.0,0.0,19.0,Defender,1.0,19.593,0.051,0.0,0.051,0.919,0.102,1.0,Titular
194090,André Ramalho,7,6,555.62,0.0,0.0,3.0,0.0,4.0,0.0,5.0,9.0,0.0,7.0,Defender,0.0,6.174,0.0,0.0,0.0,0.486,0.0,0.857,Titular
195756,Fabrizio Angileri,10,6,563.96,1.0,0.0,4.0,1.0,3.0,0.0,6.0,6.0,0.0,7.0,Defender,1.0,6.266,0.16,0.0,0.16,0.638,0.16,0.6,Titular
196879,Alex Santana,1,0,9.83,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Midfielder,0.0,0.109,0.0,0.0,0.0,9.156,0.0,0.0,Reserva
