id,nome,idade,data_nascimento,camisa,posicao,jogos,gols,entradas_reserva,assistencias,cartoes_amarelos,cartoes_vermelhos,participacoes_gols,gols_por_jogo,assistencias_por_jogo,titularidades,percentual_titularidade,status_elenco
257051,Hugo Souza,27,1999-01-31 08:00:00+00:00,1,Goalkeeper,22,0,0,0,2,0,0,0.0,0.0,22,1.0,Titular
361442,Kauê Camargo,22,2004-02-08 08:00:00+00:00,51,Goalkeeper,4,0,0,0,2,0,0,0.0,0.0,4,1.0,Titular
361463,Felipe Longo,21,2005-03-05 08:00:00+00:00,40,Goalkeeper,0,0,0,0,0,0,0,0.0,0.0,0,0.0,Sem jogos
376482,Matheus Corrêa,20,2006-01-31 08:00:00+00:00,50,Goalkeeper,0,0,0,0,0,0,0,0.0,0.0,0,0.0,Sem jogos
421612,Gustavo Milani,17,2009-03-02 08:00:00+00:00,71,Goalkeeper,0,0,0,0,0,0,0,0.0,0.0,0,0.0,Sem jogos
168981,Gustavo Henrique,33,1993-03-24 08:00:00+00:00,13,Defender,22,1,0,1,3,0,2,0.045454545454545456,0.045454545454545456,22,1.0,Titular
192226,Gabriel Paulista,35,1990-11-26 08:00:00+00:00,3,Defender,20,1,0,0,6,0,1,0.05,0.0,20,1.0,Titular
194090,André Ramalho,34,1992-02-16 08:00:00+00:00,5,Defender,7,0,1,0,4,0,0,0.0,0.0,6,0.8571428571428571,Titular
195756,Fabrizio Angileri,32,1994-03-15 08:00:00+00:00,26,Defender,9,1,4,0,3,0,1,0.1111111111111111,0.0,5,0.5555555555555556,Titular
272533,Mateuzinho,26,2000-09-08 07:00:00+00:00,2,Defender,21,1,1,2,4,1,3,0.047619047619047616,0.09523809523809523,20,0.9523809523809523,Titular
287774,Matheus Bidu,27,1999-05-04 07:00:00+00:00,21,Defender,20,3,0,1,5,0,4,0.15,0.05,20,1.0,Titular
303591,Hugo,29,1997-08-29 07:00:00+00:00,46,Defender,0,0,0,0,0,0,0,0.0,0.0,0,0.0,Sem jogos
359849,Pedro Milans,24,2002-03-24 08:00:00+00:00,20,Defender,6,0,1,0,0,0,0,0.0,0.0,5,0.8333333333333334,Titular
361471,João Pedro,22,2003-12-31 08:00:00+00:00,47,Defender,4,1,1,0,1,0,1,0.25,0.0,3,0.75,Titular
379516,Guilherme Pellegrin Almeida,20,2006-07-26 07:00:00+00:00,62,Defender,0,0,0,0,0,0,0,0.0,0.0,0,0.0,Sem jogos
