partida_id,data,adversario,mando,gols_corinthians,gols_adversario,saldo_gols,resultado,pontos,jogo,vitoria,empate,derrota,vitorias_acumuladas,empates_acumulados,derrotas_acumuladas,pontos_acumulados,gols_feitos_acumulados,gols_sofridos_acumulados,saldo_acumulado,pontos_possiveis,aproveitamento,media_gols_feitos,media_gols_sofridos
401840811,2026-01-28 23:00:00+00:00,Bahia,Casa,1,2,-1,Derrota,0,1,0,0,1,0,0,1,0,1,2,-1,3,0.0,1.0,2.0
401840988,2026-02-12 23:00:00+00:00,Red Bull Bragantino,Casa,2,0,2,Vitória,3,2,1,0,0,1,0,1,3,3,2,1,6,50.0,1.5,1.0
401840981,2026-02-19 22:30:00+00:00,Athletico Paranaense,Fora,1,0,1,Vitória,3,3,1,0,0,2,0,1,6,4,2,2,9,66.67,1.33,0.67
401841001,2026-02-25 23:00:00+00:00,Cruzeiro,Fora,1,1,0,Empate,1,4,0,1,0,2,1,1,7,5,3,2,12,58.33,1.25,0.75
401841013,2026-03-12 00:30:00+00:00,Coritiba,Casa,0,2,-2,Derrota,0,5,0,0,1,2,1,2,7,5,5,0,15,46.67,1.0,1.0
401841018,2026-03-15 19:00:00+00:00,Santos,Fora,1,1,0,Empate,1,6,0,1,0,2,2,2,8,6,6,0,18,44.44,1.0,1.0
401841036,2026-03-20 00:30:00+00:00,Chapecoense,Fora,0,0,0,Empate,1,7,0,1,0,2,3,2,9,6,6,0,21,42.86,0.86,0.86
401841046,2026-03-22 23:30:00+00:00,Flamengo,Casa,1,1,0,Empate,1,8,0,1,0,2,4,2,10,7,7,0,24,41.67,0.88,0.88
401841054,2026-04-02 00:30:00+00:00,Fluminense,Fora,1,3,-2,Derrota,0,9,0,0,1,2,4,3,10,8,10,-2,27,37.04,0.89,1.11
401841064,2026-04-05 22:30:00+00:00,Internacional,Casa,0,1,-1,Derrota,0,10,0,0,1,2,4,4,10,8,11,-3,30,33.33,0.8,1.1
401841069,2026-04-12 21:30:00+00:00,Palmeiras,Casa,0,0,0,Empate,1,11,0,1,0,2,5,4,11,8,11,-3,33,33.33,0.73,1.0
401841080,2026-04-18 23:00:00+00:00,Vitória,Fora,0,0,0,Empate,1,12,0,1,0,2,6,4,12,8,11,-3,36,33.33,0.67,0.92
401841089,2026-04-26 19:00:00+00:00,Vasco da Gama,Casa,1,0,1,Vitória,3,13,1,0,0,3,6,4,15,9,11,-2,39,38.46,0.69,0.85
401841103,2026-05-03 23:30:00+00:00,Mirassol,Fora,1,2,-1,Derrota,0,14,0,0,1,3,6,5,15,10,13,-3,42,35.71,0.71,0.93
401841115,2026-05-10 21:30:00+00:00,São Paulo,Casa,3,2,1,Vitória,3,15,1,0,0,4,6,5,18,13,15,-2,45,40.0,0.87,1.0
401841118,2026-05-17 19:00:00+00:00,Botafogo,Fora,1,3,-2,Derrota,0,16,0,0,1,4,6,6,18,14,18,-4,48,37.5,0.88,1.12
401841128,2026-05-24 21:30:00+00:00,Atlético-MG,Casa,1,0,1,Vitória,3,17,1,0,0,5,6,6,21,15,18,-3,51,41.18,0.88,1.06
401841139,2026-05-30 20:30:00+00:00,Grêmio,Fora,3,1,2,Vitória,3,18,1,0,0,6,6,6,24,18,19,-1,54,44.44,1.0,1.06
401841151,2026-07-23 22:30:00+00:00,Remo,Casa,3,0,3,Vitória,3,19,1,0,0,7,6,6,27,21,19,2,57,47.37,1.11,1.0
401841159,2026-07-26 19:00:00+00:00,Bahia,Fora,1,1,0,Empate,1,20,0,1,0,7,7,6,28,22,20,2,60,46.67,1.1,1.0
401841174,2026-07-30 22:30:00+00:00,Athletico Paranaense,Casa,0,0,0,Empate,1,21,0,1,0,7,8,6,29,22,20,2,63,46.03,1.05,0.95
401841179,2026-08-09 21:30:00+00:00,Red Bull Bragantino,Fora,2,0,2,Vitória,3,22,1,0,0,8,8,6,32,24,20,4,66,48.48,1.09,0.91
401841193,2026-08-16 22:30:00+00:00,Cruzeiro,Casa,1,2,-1,Derrota,0,23,0,0,1,8,8,7,32,25,22,3,69,46.38,1.09,0.96
401841207,2026-08-23 22:30:00+00:00,Coritiba,Fora,1,2,-1,Derrota,0,24,0,0,1,8,8,8,32,26,24,2,72,44.44,1.08,1.0
401841214,2026-08-30 19:00:00+00:00,Santos,Casa,0,1,-1,Derrota,0,25,0,0,1,8,8,9,32,26,25,1,75,42.67,1.04,1.0
401841220,2026-09-06 22:30:00+00:00,Chapecoense,Casa,1,2,-1,Derrota,0,26,0,0,1,8,8,10,32,27,27,0,78,41.03,1.04,1.04
401841237,2026-09-13 20:30:00+00:00,Flamengo,Fora,1,2,-1,Derrota,0,27,0,0,1,8,8,11,32,28,29,-1,81,39.51,1.04,1.07
