id,nome,idade,data_nascimento,camisa,posicao,jogos,gols,entradas_reserva,assistencias,cartoes_amarelos,cartoes_vermelhos
257051,Hugo Souza,27.0,1999-01-31T08:00Z,1,Goalkeeper,23.0,0.0,0.0,0.0,2.0,0.0
361442,Kauê Camargo,22.0,2004-02-08T08:00Z,51,Goalkeeper,4.0,0.0,0.0,0.0,2.0,0.0
361463,Felipe Longo,21.0,2005-03-05T08:00Z,40,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0
376482,Matheus Corrêa,20.0,2006-01-31T08:00Z,50,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0
421612,Gustavo Milani,17.0,2009-03-02T08:00Z,71,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0
168981,Gustavo Henrique,33.0,1993-03-24T08:00Z,13,Defender,22.0,1.0,0.0,1.0,3.0,0.0
192226,Gabriel Paulista,35.0,1990-11-26T08:00Z,3,Defender,20.0,1.0,0.0,0.0,6.0,0.0
194090,André Ramalho,34.0,1992-02-16T08:00Z,5,Defender,7.0,0.0,1.0,0.0,4.0,0.0
195756,Fabrizio Angileri,32.0,1994-03-15T08:00Z,26,Defender,10.0,1.0,4.0,0.0,3.0,0.0
272533,Mateuzinho,26.0,2000-09-08T07:00Z,2,Defender,22.0,1.0,2.0,2.0,4.0,1.0
287774,Matheus Bidu,27.0,1999-05-04T07:00Z,21,Defender,21.0,3.0,1.0,1.0,5.0,0.0
303591,Hugo,29.0,1997-08-29T07:00Z,46,Defender,0.0,0.0,0.0,0.0,0.0,0.0
359849,Pedro Milans,24.0,2002-03-24T08:00Z,20,Defender,7.0,0.0,1.0,0.0,0.0,0.0
361471,João Pedro,22.0,2003-12-31T08:00Z,47,Defender,5.0,1.0,1.0,0.0,1.0,0.0
379516,Guilherme Pellegrin Almeida,20.0,2006-07-26T07:00Z,62,Defender,0.0,0.0,0.0,0.0,0.0,0.0
399414,Jacaré,19.0,2007-01-03T08:00Z,59,Defender,0.0,0.0,0.0,0.0,0.0,0.0
415446,Yago Veloso,19.0,2007-02-06T08:00Z,84,Defender,0.0,0.0,0.0,0.0,0.0,0.0
421414,Iago Machado,17.0,2009-02-17T08:00Z,55,Defender,1.0,0.0,0.0,0.0,0.0,0.0
421618,Levi Dias,18.0,2008-03-30T07:00Z,85,Defender,0.0,0.0,0.0,0.0,0.0,0.0
421619,João Vitor,18.0,2007-11-06T08:00Z,86,Defender,0.0,0.0,0.0,0.0,0.0,0.0
148189,André Carrillo,35.0,1991-06-14T07:00Z,19,Midfielder,21.0,0.0,9.0,1.0,4.0,0.0
169136,Jesse Lingard,33.0,1992-12-15T08:00Z,77,Midfielder,16.0,0.0,9.0,1.0,2.0,0.0
196879,Alex Santana,31.0,1995-05-13T07:00Z,80,Midfielder,1.0,0.0,1.0,0.0,0.0,0.0
216098,Matheus Pereira,28.0,1998-02-25T08:00Z,23,Midfielder,19.0,0.0,12.0,0.0,2.0,0.0
223437,Allan,29.0,1997-03-03T08:00Z,29,Midfielder,21.0,0.0,9.0,1.0,4.0,1.0
236099,Raniele,29.0,1996-12-31T08:00Z,14,Midfielder,22.0,2.0,1.0,0.0,6.0,0.0
240557,Charles,30.0,1996-06-19T07:00Z,35,Midfielder,5.0,0.0,1.0,0.0,1.0,0.0
270562,Rodrigo Garro,28.0,1998-01-04T08:00Z,8,Midfielder,25.0,3.0,6.0,6.0,8.0,0.0
338898,Breno Bidon,21.0,2005-02-20T08:00Z,7,Midfielder,24.0,2.0,3.0,1.0,4.0,0.0
371496,Luiz Gustavo,20.0,2006-01-02T08:00Z,54,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0
382944,Dieguinho,18.0,2007-09-16T07:00Z,61,Midfielder,15.0,1.0,12.0,0.0,0.0,0.0
409662,André,20.0,2006-06-20T07:00Z,49,Midfielder,17.0,3.0,5.0,2.0,1.0,2.0
415464,Guilherme Amorim,18.0,2008-01-15T08:00Z,48,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0
417419,Luiz Fabio,19.0,2006-11-04T08:00Z,89,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0
421613,Pedro Thomas,18.0,2008-02-15T08:00Z,65,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0
421615,Guilherme Caraguá,19.0,2007-01-27T08:00Z,75,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0
3126748,Lucca Arcolini Caramico,,,72,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0
3126749,Léonardo Rodrigues Silva,,,76,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0
144324,Zakaria Labyad,33.0,1993-03-09T08:00Z,52,Forward,11.0,1.0,9.0,2.0,1.0,0.0
159255,Memphis Depay,32.0,1994-02-13T08:00Z,10,Forward,11.0,1.0,3.0,0.0,1.0,0.0
171652,Vitinho,32.0,1993-10-09T07:00Z,11,Forward,8.0,0.0,4.0,0.0,0.0,0.0
234070,Pedro Raúl,29.0,1996-11-05T08:00Z,18,Forward,13.0,1.0,9.0,0.0,1.0,0.0
266666,Yuri Alberto,25.0,2001-03-18T08:00Z,9,Forward,17.0,3.0,1.0,2.0,2.0,0.0
347456,Kaio,22.0,2004-02-15T08:00Z,37,Forward,15.0,2.0,6.0,2.0,2.0,0.0
361467,Kayke Ferrari,22.0,2004-04-28T07:00Z,31,Forward,6.0,0.0,4.0,0.0,0.0,0.0
382959,Gui Negão,19.0,2007-02-06T08:00Z,56,Forward,10.0,1.0,8.0,0.0,0.0,0.0
382961,Luiz Fernando,19.0,2007-07-13T07:00Z,64,Forward,0.0,0.0,0.0,0.0,0.0,0.0
400429,Nícollas,18.0,2008-06-13T07:00Z,67,Forward,0.0,0.0,0.0,0.0,0.0,0.0
400447,Nicolas Araújo,19.0,2007-01-02T08:00Z,57,Forward,0.0,0.0,0.0,0.0,0.0,0.0
421609,Christian Santos,19.0,2007-02-19T08:00Z,78,Forward,0.0,0.0,0.0,0.0,0.0,0.0
421617,Kayque,17.0,2009-09-09T07:00Z,79,Forward,0.0,0.0,0.0,0.0,0.0,0.0
