partida_id,data,adversario,mando,gols_corinthians,gols_adversario,saldo_gols,resultado,pontos
401840811,2026-01-28 23:00:00+00:00,Bahia,Casa,1,2,-1,Derrota,0
401840988,2026-02-12 23:00:00+00:00,Red Bull Bragantino,Casa,2,0,2,Vitória,3
401840981,2026-02-19 22:30:00+00:00,Athletico Paranaense,Fora,1,0,1,Vitória,3
401841001,2026-02-25 23:00:00+00:00,Cruzeiro,Fora,1,1,0,Empate,1
401841013,2026-03-12 00:30:00+00:00,Coritiba,Casa,0,2,-2,Derrota,0
401841018,2026-03-15 19:00:00+00:00,Santos,Fora,1,1,0,Empate,1
401841036,2026-03-20 00:30:00+00:00,Chapecoense,Fora,0,0,0,Empate,1
401841046,2026-03-22 23:30:00+00:00,Flamengo,Casa,1,1,0,Empate,1
401841054,2026-04-02 00:30:00+00:00,Fluminense,Fora,1,3,-2,Derrota,0
401841064,2026-04-05 22:30:00+00:00,Internacional,Casa,0,1,-1,Derrota,0
401841069,2026-04-12 21:30:00+00:00,Palmeiras,Casa,0,0,0,Empate,1
401841080,2026-04-18 23:00:00+00:00,Vitória,Fora,0,0,0,Empate,1
401841089,2026-04-26 19:00:00+00:00,Vasco da Gama,Casa,1,0,1,Vitória,3
401841103,2026-05-03 23:30:00+00:00,Mirassol,Fora,1,2,-1,Derrota,0
401841115,2026-05-10 21:30:00+00:00,São Paulo,Casa,3,2,1,Vitória,3
401841118,2026-05-17 19:00:00+00:00,Botafogo,Fora,1,3,-2,Derrota,0
401841128,2026-05-24 21:30:00+00:00,Atlético-MG,Casa,1,0,1,Vitória,3
401841139,2026-05-30 20:30:00+00:00,Grêmio,Fora,3,1,2,Vitória,3
401841151,2026-07-23 22:30:00+00:00,Remo,Casa,3,0,3,Vitória,3
401841159,2026-07-26 19:00:00+00:00,Bahia,Fora,1,1,0,Empate,1
401841174,2026-07-30 22:30:00+00:00,Athletico Paranaense,Casa,0,0,0,Empate,1
401841179,2026-08-09 21:30:00+00:00,Red Bull Bragantino,Fora,2,0,2,Vitória,3
401841193,2026-08-16 22:30:00+00:00,Cruzeiro,Casa,1,2,-1,Derrota,0
401841207,2026-08-23 22:30:00+00:00,Coritiba,Fora,1,2,-1,Derrota,0
401841214,2026-08-30 19:00:00+00:00,Santos,Casa,0,1,-1,Derrota,0
401841220,2026-09-06 22:30:00+00:00,Chapecoense,Casa,1,2,-1,Derrota,0
